MATRIKS RISK ISSUE,,,,,,,,Aktivitas Unit Kerja,,,Contoh Temuan
NO,MEGA,No,MAJOR,No,SUB MAJOR,CODE,RISK ISSUE,KC,KR,KP,
,,,,,,PLT5,"Pelanggaran Kode Etik, peraturan tata tertib dan kedisiplinan pegawai tidak ditindaklanjuti dengan memadai",√,√,√,Staf yang melakukan tindakan fraud / kesalahan lainnya tidak diberikan punishment sesuai dengan ketentuan
,,,,2.5.3,Administrasi Kepegawaian,AMK1,Pembayaran upah/hak-hak (benefit) pekerja tidak sesuai ketentuan,,,√,
,,,,,,AMK2,Pengelolaan administrasi & berkas (fisik dokumen) kepegawaian tidak tertib,,,√,
,,,,,,AMK3,Data sistem SDM tidak akurat,,,√,
,,,,,,AMK4,Pelaksanaan cuti tidak sesuai ketentuan,√,√,√,Cuti karyawan tidak disertakan dengan ijin dari atasan
,,,,,,AMK5,Pencurian aset informasi Lembaga oleh pekerja yang sudah dimutasi ke unit kerja lain/pekerja yang sudah di PHK,√,√,√,"Bocornya data anggota, ketentuan internal, atau informasi berharga lainnya milik lembaga kepada pihak eksternal KOMIDA"
,,,,,,AMK6,Terjadinya akses ilegal oleh pekerja yang sudah dimutasi ke unit kerja lain/pekerja yang sudah di PHK,√,√,√,
,,,,,,AMK7,Pengembalian aktiva tetap (IT dan Non IT) oleh pekerja yang dimutasi ke unit kerja lain/pekerja yang sudah di PHK tidak dilakukan dengan tertib,√,√,√,
,,,,2.5.4,"Penghentian Hubungan Kerja (Pensiun, Pengunduran Diri, PHK)",PHK1,Proses penghentian hubungan kerja tidak sesuai dengan ketentuan,,√,√,
,,,,,,PHK2,Pemenuhan hak dan kewajiban pekerja yang dikenakan PHK tidak sesuai ketentuan,,√,√,
,,2.6,"Akuntansi, Pelaporan, Informasi & Komunikasi",2.6.1,Monitoring Kelengkapan & Kewajaran Informasi Keuangan,KKI1,"Biaya pengeluaran tidak terselesaikan (Biaya dibayar dimuka, dll.)",,,√,UM & LPJ Perdin
,,,,,,KKI2,Pencatatan transaksi tidak sesuai dengan tujuan penggunaan rekening/ akun,√,√,√,Kesalahan input akun transaksi pengeluaran biaya
,,,,,,KKI3,Perhitungan atau pencatatan pencadangan kerugian tidak sesuai ketentuan,,,√,
,,,,2.6.2,Rekonsiliasi & Tindak Lanjut,RTL1,Rekonsiliasi tidak dilaksanakan secara memadai,,,√,
,,,,2.6.3,Penyusunan & Pendistribusian Laporan,PDL1,"Laporan kepada lembaga eksternal/internal tidak sesuai dengan ketentuan yang berlaku (waktu, content & format)",,,√,Tidak/Belum dilakukannya pengarsipan laporan keuangan dan perkembangan cabang
,,2.7,Pengamanan Sistem Informasi,2.7.1,Pengelolaan Aset Informasi,PAI1,Perlindungan aset informasi Lembaga tidak memadai,√,√,√,
,,,,,,PAI2,Kelemahan pengamanan data/informasi akibat kurangnya pemahaman pekerja (security awarenes),√,√,√,
,,,,2.7.2,Pengamanan Fisik & Lingkungan,FSL1,"Terganggunya operasional IPF (Information Processing Facility, contoh : Ruang Server) karena ganguan eksternal (force majeure)",,,√,
,,,,,,FSL2,"Terjadinya gangguan operasional, pencurian/penyebaran informasi, atau fraud karena adanya akses di ruang data center atau ruang kerja oleh pihak yang tidak berwenang",,,√,
,,,,,,FSL3,Terjadinya pencurian dan penyebaran data/informasi dalam proses distribusi media penyimpanan informasi,,,√,
,,,,2.7.3,Pengamanan Operasi & Komunikasi,POK1,"Perangkat IT rentan terhadap serangan program jahat (contoh : virus, malware, dll)",√,√,√,
